Category,ProductName,Location,Price,OverallRating,NumberSold,TotalReview,CustomerRating,CustomerReview,Sentiment,Emotion,PriceBinned,tokens,CleanReview,ReviewLength
Computers and Laptops,Wireless Keyboard i8 Mini TouchPad Mouse 2.4G Handheld PC Android TV,Jakarta Utara,53500,4.9,5449,2369,5,Alhamdulillah berfungsi dengan baik. Packaging aman. Respon cepat dan ramah. Seller dan kurir amanah,Positive,Happy,Medium,"['alhamdulillah', 'berfungsi', 'packaging', 'aman', 'respon', 'cepat', 'ramah', 'seller', 'kurir', 'amanah']",alhamdulillah berfungsi dengan baik packaging aman respon cepat dan ramah seller dan kurir amanah,14
Computers and Laptops,PAKET LISENSI WINDOWS 10 PRO DAN OFFICE 2019 ORIGINAL + BONUS,Kota Tangerang Selatan,72000,4.9,2359,1044,5,"barang bagus dan respon cepat, harga bersaing dengan yg lain.",Positive,Happy,Medium,"['barang', 'bagus', 'respon', 'cepat', 'harga', 'bersaing']",barang bagus dan respon cepat harga bersaing dengan yang lain,10
Computers and Laptops,SSD Midasforce 128 Gb - Tanpa Caddy,Jakarta Barat,213000,5.0,12300,3573,5,"barang bagus, berfungsi dengan baik, seler ramah, pengiriman cepat",Positive,Happy,High,"['barang', 'bagus', 'berfungsi', 'seler', 'ramah', 'pengiriman', 'cepat']",barang bagus berfungsi dengan baik seler ramah pengiriman cepat,9
Computers and Laptops,ADAPTOR CHARGER MONITOR LCD LED TV LG merek LG 19V ORIGINAL,Jakarta Timur,55000,4.7,2030,672,5,bagus sesuai harapan penjual nya juga ramah. trimakasih pelapak ??,Positive,Happy,Medium,"['bagus', 'sesuai', 'harapan', 'penjual', 'ramah', 'trimakasih', 'pelapak']",bagus sesuai harapan penjual nya juga ramah trimakasih pelapak,9
Computers and Laptops,ADAPTOR CHARGER MONITOR LCD LED TV LG merek LG 19V ORIGINAL,Jakarta Timur,55000,4.7,2030,672,5,"Barang Bagus, pengemasan Aman, dapat Berfungsi dengan Baik",Positive,Happy,Medium,"['barang', 'bagus', 'pengemasan', 'aman', 'berfungsi']",barang bagus pengemasan aman dapat berfungsi dengan baik,8
Computers and Laptops,ADAPTOR CHARGER MONITOR LCD LED TV LG merek LG 19V ORIGINAL,Jakarta Timur,55000,4.7,2030,672,5,"barang bagus, seller ramah..",Positive,Happy,Medium,"['barang', 'bagus', 'seller', 'ramah']",barang bagus seller ramah,4
Computers and Laptops,Kepala Colokan Listrik Charger Macbook untuk colokan Indonesia,Jakarta Selatan,85000,4.9,1339,718,5,mantap paten joss,Positive,Happy,Medium,"['mantap', 'paten', 'joss']",mantap paten joss,3
Computers and Laptops,AFL Bidirectional HDMI Switcher 1-In 2-Out & 2-In 1-Out - AFU,Jakarta Barat,136500,5.0,1201,632,5,"Works fine. Respon seller cepat, barang berfungsi dengan baik. Recommended.",Positive,Happy,High,"['works', 'fine', 'respon', 'seller', 'cepat', 'barang', 'berfungsi', 'recommended']",works fine respon seller cepat barang berfungsi dengan baik recommended,10
Computers and Laptops,AFL Bidirectional HDMI Switcher 1-In 2-Out & 2-In 1-Out - AFU,Jakarta Barat,136500,5.0,1201,632,5,barang bagus.. segel.. utuh.. original.. berfungsi dengan bener.. seller respon nya ajib.. cepat amir... uda gt kasi sarannya pas banget lg dengan kebutuhan.. mantabbb,Positive,Happy,High,"['barang', 'bagus', 'segel', 'utuh', 'original', 'berfungsi', 'bener', 'seller', 'respon', 'ajib', 'cepat', 'amir', 'uda', 'gt', 'kasi', 'sarannya', 'pas', 'banget', 'lg', 'kebutuhan', 'mantab']",barang bagus segel utuh original berfungsi dengan bener seller respon nya ajib cepat amir uda gt kasi sarannya pas banget lg dengan kebutuhan mantab,24
Computers and Laptops,Adaptor Charger OriginaL Laptop Asus X441 X441U X441UV X441UA X441S,Jakarta Barat,113777,4.9,1630,777,5,Barang datang dan berfungsi dengan baik dan terlihat bagus kali ada lampu birunya.,Positive,Happy,High,"['barang', 'berfungsi', 'bagus', 'kali', 'lampu', 'birunya']",barang datang dan berfungsi dengan baik dan terlihat bagus kali ada lampu birunya,13
Computers and Laptops,Adaptor Charger OriginaL Laptop Asus X441 X441U X441UV X441UA X441S,Jakarta Barat,113777,4.9,1630,777,5,"Pengiriman super cepat, barang bagus, recommended seller, thanks",Positive,Happy,High,"['pengiriman', 'super', 'cepat', 'barang', 'bagus', 'recommended', 'seller', 'thanks']",pengiriman super cepat barang bagus recommended seller thanks,8
Computers and Laptops,Adaptor Charger Laptop Asus A455LA A455LD A455LB A455 A455L Original,Jakarta Utara,66000,4.8,2702,882,5,alhamdulillah barangnya udah nyampe... d coba bagus... semoga awet... terima kasih seller kurir dan tokopedia...,Positive,Happy,Medium,"['alhamdulillah', 'barangnya', 'udah', 'nyampe', 'coba', 'bagus', 'semoga', 'awet', 'terima', 'kasih', 'seller', 'kurir', 'tokopedia']",alhamdulillah barangnya udah nyampe di coba bagus semoga awet terima kasih seller kurir dan tokopedia,15
